	38F	38M	42F	45F		
Rickettsia buchneri;30S ribosomal protein S1 [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN5552_c0_g1_i1	0	0	3	1		
Rickettsia buchneri;30S ribosomal protein S1 [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN6730_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;30S ribosomal protein S21 [Rickettsia buchneri];TRINITY_DN3242_c0_g1_i1	1	0	6	1		
Rickettsia buchneri;30S ribosomal protein S4 [Rickettsia felis URRWXCal2];TRINITY_DN7060_c0_g1_i1	0	1	7	7		
Rickettsia buchneri;30S ribosomal protein S7 [Rickettsia buchneri];TRINITY_DN6942_c0_g1_i1	0	0	1	4		
Rickettsia buchneri;50S ribosomal protein L19 [Rickettsia asembonensis];TRINITY_DN5254_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;50S ribosomal protein L22 [Rickettsia sp. Tenjiku01];TRINITY_DN3863_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;50S ribosomal protein L4 [Rickettsia monacensis];TRINITY_DN2878_c0_g1_i1	0	0	2	2		
Rickettsia buchneri;60 kDa chaperonin [Rickettsia massiliae MTU5];TRINITY_DN5187_c0_g1_i1	4	0	18	19		
Rickettsia buchneri;AAA family ATPase [Rickettsia buchneri];TRINITY_DN3098_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;AAA family ATPase [Rickettsia buchneri];TRINITY_DN5952_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;AAA family ATPase [Rickettsia buchneri];TRINITY_DN7175_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;AAA family ATPase [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN6585_c0_g1_i1	0	0	0	0		
Rickettsia buchneri;AAA family ATPase [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN7236_c0_g1_i1	0	0	3	0		
Rickettsia buchneri;AAA family ATPase partial [Rickettsia montanensis];TRINITY_DN3238_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;acetyltransferase family protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN3300_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;antigenic heat-stable 120 kDa protein partial [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN5440_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;antigenic heat-stable protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN2666_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;asmA-like C-terminal region family protein [Rickettsia argasii T170-B];TRINITY_DN6908_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Rickettsia amblyommatis];TRINITY_DN2924_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;ATP synthase alpha chain [Rickettsia conorii str. Malish 7];TRINITY_DN3089_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;ATP synthase alpha subunit partial [Rickettsia australis];TRINITY_DN4321_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN3670_c0_g1_i1	0	0	7	1		
Rickettsia buchneri;ATP-dependent protease La [Rickettsia montanensis str. OSU 85-930];TRINITY_DN6596_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;autotransporter outer membrane beta-barrel domain-containing protein [Rickettsia buchneri];TRINITY_DN3753_c0_g1_i1	1	0	16	27		
Rickettsia buchneri;autotransporter outer membrane beta-barrel domain-containing protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN3490_c0_g1_i1	0	0	2	2		
Rickettsia buchneri;Bax inhibitor-1/YccA family protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN6148_c0_g1_i1	0	0	0	3		
Rickettsia buchneri;bifunctional (p)ppGpp synthetase/guanosine-3'5'-bis(diphosphate) 3'-pyrophosphohydrolase [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN3461_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;bifunctional (p)ppGpp synthetase/guanosine-3'5'-bis(diphosphate) 3'-pyrophosphohydrolase partial [Rickettsia buchneri];TRINITY_DN4643_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;CarD family transcriptional regulator [Rickettsia asembonensis];TRINITY_DN7365_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;cell surface antigen [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN3648_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;cell surface antigen rOmp A [Rickettsia buchneri];TRINITY_DN6394_c0_g1_i1	0	1	1	1		
Rickettsia buchneri;chitin binding domain protein [Rickettsia hoogstraalii str. RCCE3];TRINITY_DN5023_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;Cold shock-like protein [Rickettsia massiliae MTU5];TRINITY_DN3470_c0_g1_i1	0	0	3	3		
Rickettsia buchneri;conserved hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN3299_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;conserved hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN3500_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;conserved hypothetical protein partial [Ixodes scapularis];TRINITY_DN4794_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;coupling protein TraD putative partial [Ixodes scapularis];TRINITY_DN2833_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;DEAD/DEAH box helicase family protein [Rickettsia amblyommatis str. Darkwater];TRINITY_DN4939_c0_g1_i1	0	0	3	0		
Rickettsia buchneri;dihydrolipoyl dehydrogenase [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN6367_c0_g1_i1	0	0	1	7		
Rickettsia buchneri;DNA topoisomerase (ATP-hydrolyzing) subunit A [Rickettsia buchneri];TRINITY_DN6003_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;DNA topoisomerase (ATP-hydrolyzing) subunit B [Rickettsia buchneri];TRINITY_DN3030_c0_g1_i1	0	0	1	4		
Rickettsia buchneri;DNA topoisomerase (ATP-hydrolyzing) subunit B [Rickettsia rickettsii];TRINITY_DN3993_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;DNA topoisomerase 4 subunit B [Rickettsia buchneri];TRINITY_DN7563_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;DNA-binding protein HU [Rickettsia japonica YH];TRINITY_DN4477_c0_g1_i1	0	0	2	2		
Rickettsia buchneri;DNA-damage-inducible protein J [Rickettsia massiliae MTU5];TRINITY_DN4111_c0_g1_i1	1	0	4	7		
Rickettsia buchneri;DNA-directed RNA polymerase subunit alpha [Rickettsia monacensis];TRINITY_DN5601_c0_g1_i1	1	0	0	0		
Rickettsia buchneri;DUF2608 domain-containing protein [Rickettsia buchneri];TRINITY_DN6893_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;DUF2610 domain-containing protein [Rickettsia monacensis];TRINITY_DN5367_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;DUF2673 domain-containing protein [Rickettsia buchneri];TRINITY_DN7458_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;efflux RND transporter periplasmic adaptor subunit [Rickettsia amblyommatis];TRINITY_DN4644_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;Elongation factor EF-Tu [Rickettsia massiliae MTU5];TRINITY_DN2774_c0_g1_i1	0	0	4	2		
Rickettsia buchneri;elongation factor G [Rickettsia buchneri];TRINITY_DN5161_c0_g1_i1	0	0	3	8		
Rickettsia buchneri;Ferredoxin [Rickettsia massiliae MTU5];TRINITY_DN4386_c0_g1_i1	0	0	2	2		
Rickettsia buchneri;Folylpolyglutamate synthase [Rickettsia buchneri];TRINITY_DN6948_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;glycine/serine hydroxymethyltransferase putative partial [Ixodes scapularis];TRINITY_DN4337_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;GTP-specific succinyl-CoA synthetase beta subunit putative [Ixodes scapularis];TRINITY_DN6472_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;heat shock protein putative partial [Ixodes scapularis];TRINITY_DN4127_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;helix-turn-helix domain-containing protein partial [Rickettsia buchneri];TRINITY_DN5501_c0_g1_i1	1	0	4	1		
Rickettsia buchneri;helix-turn-helix transcriptional regulator [Rickettsia monacensis];TRINITY_DN5448_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;helix-turn-helix transcriptional regulator [Rickettsia monacensis];TRINITY_DN6678_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;hsp70 family protein [Rickettsia amblyommatis str. Darkwater];TRINITY_DN4489_c0_g1_i1	1	2	10	8		
Rickettsia buchneri;hsp70 family protein [Rickettsia amblyommatis str. Darkwater];TRINITY_DN7049_c0_g1_i1	0	0	1	6		
Rickettsia buchneri;Hsp70 putative partial [Ixodes scapularis];TRINITY_DN3505_c0_g1_i1	0	0	7	5		
Rickettsia buchneri;hypothetical protein [Candidatus Rickettsia colombianensi];TRINITY_DN292_c0_g5_i1	2	0	2	3		
Rickettsia buchneri;hypothetical protein [Rickettsia buchneri];TRINITY_DN2056_c0_g1_i1	2	0	39	21		
Rickettsia buchneri;hypothetical protein [Rickettsia buchneri];TRINITY_DN6124_c0_g1_i1	0	0	4	3		
Rickettsia buchneri;hypothetical protein [Rickettsia buchneri];TRINITY_DN6917_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;hypothetical protein [Rickettsia buchneri];TRINITY_DN7200_c0_g1_i1	0	0	4	2		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN225_c0_g2_i1	1	0	6	4		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN5760_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN2828_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN2974_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN3725_c0_g1_i1	0	0	7	7		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN484_c0_g1_i1	0	0	2	2		
Rickettsia buchneri;hypothetical protein [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN798_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;hypothetical protein [Rickettsia helvetica];TRINITY_DN464_c0_g2_i1	1	0	3	5		
Rickettsia buchneri;hypothetical protein [Rickettsia monacensis];TRINITY_DN5387_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;hypothetical protein [Rickettsia tamurae];TRINITY_DN7702_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;hypothetical protein H374_8280 [Rickettsia prowazekii str. NMRC Madrid E];TRINITY_DN7090_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;hypothetical protein RAMDARK_1484 [Rickettsia amblyommatis str. Darkwater];TRINITY_DN3976_c0_g1_i1	3	1	6	7		
Rickettsia buchneri;hypothetical protein REIP_0883 [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN3349_c0_g1_i1	0	0	3	0		
Rickettsia buchneri;hypothetical protein REIP_1025 [Rickettsia endosymbiont of Ixodes pacificus];TRINITY_DN3362_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;hypothetical protein REIS_0028 [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN4727_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;hypothetical protein REIS_1381 [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN292_c0_g1_i1	1	0	5	1		
Rickettsia buchneri;hypothetical protein REIS_1381 [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN292_c0_g1_i2	0	0	0	1		
Rickettsia buchneri;hypothetical protein REISMN_02500 [Rickettsia buchneri];TRINITY_DN4262_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;hypothetical protein REISMN_04290 [Rickettsia buchneri];TRINITY_DN5068_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;hypothetical protein REISMN_04295 [Rickettsia buchneri];TRINITY_DN3596_c0_g1_i1	0	0	4	1		
Rickettsia buchneri;hypothetical protein REISMN_05125 [Rickettsia buchneri];TRINITY_DN3697_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;hypothetical protein REISMN_06525 [Rickettsia buchneri];TRINITY_DN2905_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;hypothetical protein REISMN_07345 [Rickettsia buchneri];TRINITY_DN5094_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;hypothetical protein RFEPED_0940 [Rickettsia felis str. Pedreira];TRINITY_DN311_c0_g1_i1	1	0	1	0		
Rickettsia buchneri;hypothetical protein RMONA_7135 [Rickettsia monacensis IrR/Munich];TRINITY_DN292_c0_g4_i1	1	1	1	0		
Rickettsia buchneri;hypothetical protein RTTH1527_02330 [Rickettsia typhi str. TH1527];TRINITY_DN2585_c0_g1_i1	0	0	36	78		
Rickettsia buchneri;iron-sulfur protein Isa2 putative partial [Ixodes scapularis];TRINITY_DN5093_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;IS3 family transposase [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN3588_c0_g1_i1	0	0	0	3		
Rickettsia buchneri;IS630 family transposase [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN6958_c0_g1_i1	0	0	4	6		
Rickettsia buchneri;IS982 family transposase [Rickettsia rhipicephali];TRINITY_DN5692_c0_g1_i1	0	0	1	3		
Rickettsia buchneri;isoleucine--tRNA ligase [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN6902_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;isoleucyl-tRNA synthetase putative [Ixodes scapularis];TRINITY_DN332_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;isoleucyl-tRNA synthetase putative [Ixodes scapularis];TRINITY_DN4097_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;leucine--tRNA ligase partial [Candidatus Rickettsia colombianensi];TRINITY_DN3339_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;leucyl aminopeptidase [Rickettsia buchneri];TRINITY_DN5697_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;Lipoyl synthase [Rickettsia buchneri];TRINITY_DN4240_c0_g1_i1	0	0	0	0		
Rickettsia buchneri;LPS export ABC transporter ATP-binding protein [Rickettsia monacensis];TRINITY_DN4243_c0_g1_i1	0	0	0	0		
Rickettsia buchneri;methyltransferase type 11 [Rickettsia endosymbiont of Ixodes scapularis];TRINITY_DN2856_c0_g1_i1	1	0	2	5		
Rickettsia buchneri;MFS transporter [Rickettsia monacensis];TRINITY_DN3559_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;molecular chaperone DnaJ [Rickettsia felis];TRINITY_DN3230_c0_g1_i1	1	0	0	1		
Rickettsia buchneri;molecular chaperone putative partial [Ixodes scapularis];TRINITY_DN5620_c0_g1_i1	0	1	0	0		
Rickettsia buchneri;MULTISPECIES: 16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH [spotted fever group];TRINITY_DN2664_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S1 [spotted fever group];TRINITY_DN6797_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S10 [spotted fever group];TRINITY_DN6631_c0_g1_i1	1	0	1	0		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S11 [Rickettsia];TRINITY_DN6906_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S13 [spotted fever group];TRINITY_DN5978_c0_g1_i1	0	0	3	1		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S14 [Rickettsia];TRINITY_DN7642_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S16 [spotted fever group];TRINITY_DN5111_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S2 [spotted fever group];TRINITY_DN4651_c0_g1_i1	0	0	1	3		
Rickettsia buchneri;MULTISPECIES: 30S ribosomal protein S5 [spotted fever group];TRINITY_DN5115_c0_g1_i1	0	0	3	3		
Rickettsia buchneri;MULTISPECIES: 3-deoxy-8-phosphooctulonate synthase [spotted fever group];TRINITY_DN7451_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;MULTISPECIES: 50S ribosomal protein L11 [Rickettsia];TRINITY_DN2775_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;MULTISPECIES: 50S ribosomal protein L16 [Rickettsia];TRINITY_DN6858_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;MULTISPECIES: 50S ribosomal protein L17 [spotted fever group];TRINITY_DN3503_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: 50S ribosomal protein L20 [spotted fever group];TRINITY_DN4422_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;MULTISPECIES: 50S ribosomal protein L21 [Rickettsia];TRINITY_DN2601_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;MULTISPECIES: 50S ribosomal protein L32 [Rickettsia];TRINITY_DN3534_c0_g1_i1	0	0	0	0		
Rickettsia buchneri;MULTISPECIES: 7-carboxy-7-deazaguanine synthase QueE [spotted fever group];TRINITY_DN4941_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: acyl-CoA desaturase [spotted fever group];TRINITY_DN6080_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;MULTISPECIES: ADP-forming succinate--CoA ligase subunit beta [spotted fever group];TRINITY_DN5323_c0_g1_i1	1	0	3	2		
Rickettsia buchneri;MULTISPECIES: alanine--tRNA ligase [spotted fever group];TRINITY_DN7380_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: autotransporter domain-containing protein [spotted fever group];TRINITY_DN3999_c0_g1_i1	1	0	3	3		
Rickettsia buchneri;MULTISPECIES: autotransporter domain-containing protein [spotted fever group];TRINITY_DN4979_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;MULTISPECIES: autotransporter domain-containing protein [spotted fever group];TRINITY_DN6661_c0_g1_i1	0	0	3	5		
Rickettsia buchneri;MULTISPECIES: autotransporter domain-containing protein [spotted fever group];TRINITY_DN7006_c0_g1_i1	0	0	6	10		
Rickettsia buchneri;MULTISPECIES: beta-ketoacyl-ACP synthase II [spotted fever group];TRINITY_DN5777_c0_g1_i1	1	0	0	0		
Rickettsia buchneri;MULTISPECIES: bifunctional folylpolyglutamate synthase/dihydrofolate synthase [spotted fever group];TRINITY_DN7488_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: biotin synthase BioB [spotted fever group];TRINITY_DN2140_c0_g1_i1	0	1	8	13		
Rickettsia buchneri;MULTISPECIES: branched-chain amino acid transaminase [spotted fever group];TRINITY_DN3656_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: cation transport regulator ChaB [spotted fever group];TRINITY_DN3179_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: chaperonin GroEL [spotted fever group];TRINITY_DN225_c0_g1_i1	0	2	7	12		
Rickettsia buchneri;MULTISPECIES: citrate synthase [spotted fever group];TRINITY_DN2346_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;MULTISPECIES: cysteine desulfurase [spotted fever group];TRINITY_DN5217_c0_g1_i1	0	0	1	2		
Rickettsia buchneri;MULTISPECIES: dihydroneopterin aldolase [spotted fever group];TRINITY_DN3056_c0_g1_i1	0	0	2	3		
Rickettsia buchneri;MULTISPECIES: dihydropteroate synthase [spotted fever group];TRINITY_DN6544_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;MULTISPECIES: DNA replication/repair protein RecF [spotted fever group];TRINITY_DN6271_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;MULTISPECIES: DNA-directed RNA polymerase subunit omega [Rickettsia];TRINITY_DN6105_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: DUF2497 domain-containing protein [Rickettsia];TRINITY_DN3803_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;MULTISPECIES: DUF2671 domain-containing protein [spotted fever group];TRINITY_DN6331_c0_g1_i1	0	0	1	0		
Rickettsia buchneri;MULTISPECIES: dUTP diphosphatase [spotted fever group];TRINITY_DN3319_c0_g1_i1	0	0	0	3		
Rickettsia buchneri;MULTISPECIES: elongation factor Ts [spotted fever group];TRINITY_DN4572_c0_g1_i1	1	0	1	1		
Rickettsia buchneri;MULTISPECIES: elongation factor Tu [spotted fever group];TRINITY_DN6423_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: F0F1 ATP synthase subunit alpha [spotted fever group];TRINITY_DN2692_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: glycosyltransferase [spotted fever group];TRINITY_DN2785_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;MULTISPECIES: Grx4 family monothiol glutaredoxin [spotted fever group];TRINITY_DN2668_c0_g1_i1	0	0	2	4		
Rickettsia buchneri;MULTISPECIES: GTP cyclohydrolase I FolE [Rickettsia];TRINITY_DN2627_c0_g1_i1	0	1	2	1		
Rickettsia buchneri;MULTISPECIES: helix-turn-helix domain-containing protein [spotted fever group];TRINITY_DN5212_c0_g1_i1	0	0	2	1		
Rickettsia buchneri;MULTISPECIES: Hsp20/alpha crystallin family protein [spotted fever group];TRINITY_DN6093_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: Hsp20/alpha crystallin family protein [spotted fever group];TRINITY_DN6108_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN1489_c0_g1_i1	0	0	2	6		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN2999_c0_g1_i1	0	0	3	1		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN3389_c0_g1_i1	0	0	2	0		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN3793_c0_g1_i1	0	0	0	2		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN4913_c0_g1_i1	0	0	1	1		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN5049_c0_g1_i1	0	0	0	1		
Rickettsia buchneri;MULTISPECIES: hypothetical protein [spotted fever group];TRINITY_DN5834_c0_g1_i1	0	0	0	1		
